gen, job, popSize, fitness, averageF1, averagePrecision, averageRecall, query
999, 0, 512, 1958.064, 0.497, 0.705, 0.408, Job: 0 ClusterQuery 0: 78 sin god christian ## ClusterQuery 1: 26 driver ## ClusterQuery 2: 38 engin ## ClusterQuery 3: 78 hockei nhl player ## ClusterQuery 4: 50 servic ## 
999, 1, 512, 464.795, 0.538, 0.714, 0.440, Job: 1 ClusterQuery 0: 70 christian jesu ## ClusterQuery 1: 80 nhl team european ## ClusterQuery 2: 42 file ## ClusterQuery 3: 55 driver flight ## ClusterQuery 4: 52 offer ## 
999, 0, 512, 2197.588, 0.751, 0.902, 0.646, Job: 0 ClusterQuery 0: 77 jesus christ god ## ClusterQuery 1: 60 sale ## ClusterQuery 2: 76 orbit high center ## ClusterQuery 3: 76 players hockey nhl ## ClusterQuery 4: 70 windows ## 
999, 0, 512, 7468.731, 0.836, 0.931, 0.763, Job: 0 ClusterQuery 0: 501 player plai playoff season score ## ClusterQuery 1: 561 christian god sin jesu church ## ClusterQuery 2: 409 orbit nasa henri moon launch ## 
999, 1, 512, 6995.055, 0.788, 0.929, 0.706, Job: 1 ClusterQuery 0: 294 moon henri orbit ## ClusterQuery 1: 497 jesu bibl church christian christ ## ClusterQuery 2: 583 playoff wing team game player ## 
999, 0, 512, 464.795, 0.538, 0.714, 0.440, Job: 0 ClusterQuery 0: 80 european nhl team ## ClusterQuery 1: 70 jesu christian ## ClusterQuery 2: 55 flight driver ## ClusterQuery 3: 42 file ## ClusterQuery 4: 52 offer ## 
999, 0, 512, 2308.540, 0.776, 0.965, 0.652, Job: 0 ClusterQuery 0: 59 shuttle nasa orbit ## ClusterQuery 1: 70 windows ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 73 christians god jesus ## ClusterQuery 4: 76 players nhl hockey ## 
999, 0, 512, 1012.596, 0.645, 0.830, 0.552, Job: 0 ClusterQuery 0: 30 file -john ## ClusterQuery 1: 63 mars sale -nasa ## ClusterQuery 2: 77 christ god jesus -play ## ClusterQuery 3: 72 nhl hockey team -center ## ClusterQuery 4: 104 nasa windows center -file ## 
999, 0, 512, 1380.782, 0.771, 0.947, 0.652, Job: 0 ClusterQuery 0: 58 sale sale sale -center ## ClusterQuery 1: 67 windows windows windows -sale ## ClusterQuery 2: 68 center nasa orbit -christians ## ClusterQuery 3: 76 christ jesus god -sale ## ClusterQuery 4: 75 team nhl hockey -space ## 
999, 1, 512, 1226.256, 0.633, 0.754, 0.560, Job: 1 ClusterQuery 0: 80 orbit sale sale -mission ## ClusterQuery 1: 48 nhl team players -play ## ClusterQuery 2: 76 jesus god christ -mars ## ClusterQuery 3: 102 file windows access -sale ## ClusterQuery 4: 66 nasa play play -access ## 
999, 0, 512, 1082.444, 0.780, 0.934, 0.672, Job: 0 ClusterQuery 0: 76 hockey players nhl ## ClusterQuery 1: 60 sale ## ClusterQuery 2: 70 windows ## ClusterQuery 3: 77 orbit high nasa ## ClusterQuery 4: 77 jesus god christ ## 
